user_groups,movie_groups,residue
2,2,64611.77779534699
2,3,63354.6131215519
2,4,64206.78710497908
2,5,64168.69949603212
2,6,63729.05807706622
2,7,64168.51156996266
2,8,64300.85936734764
2,9,63948.19132325801
2,10,64670.507104236625
2,11,63997.0728379982
2,12,63543.224810775326
2,13,63542.73428045863
2,14,64152.78967113
2,15,63915.8088228708
3,2,64578.994474403655
3,3,62391.44278386451
3,4,64093.686871948514
3,5,63860.758842700234
3,6,63981.61813685791
3,7,62867.763114306166
3,8,63588.51267185006
3,9,63492.521328731964
3,10,64203.450133126185
3,11,63037.04674892901
3,12,63284.79270909706
3,13,62911.521825272735
3,14,62442.23113979674
3,15,62682.24030031152
4,2,64651.326082652595
4,3,62694.164157725085
4,4,64180.76571176623
4,5,62978.4009170308
4,6,63528.8018182691
4,7,63213.683029395885
4,8,62955.10902106576
4,9,61749.82379893572
4,10,62133.56166369167
4,11,62389.03599839673
4,12,62315.87616103431
4,13,60832.753248384775
4,14,62254.6258924243
4,15,61563.63131617133
5,2,64575.16727939774
5,3,62326.24884252351
5,4,64026.84206092729
5,5,62811.08900354964
5,6,63468.83418549289
5,7,62948.66681217783
5,8,62454.8519812355
5,9,62550.374316748115
5,10,61767.74697115428
5,11,62096.09219668041
5,12,61020.71291701582
5,13,60789.24103875665
5,14,62059.961149908464
5,15,61198.71162839829
6,2,64056.95264856591
6,3,62803.55188952859
6,4,63614.8382425481
6,5,63608.02677263281
6,6,62192.47061006429
6,7,62667.06939035477
6,8,61916.65621559795
6,9,62393.71781311098
6,10,61615.09052011566
6,11,61928.15511407928
6,12,62484.49740337181
6,13,61678.711707528506
6,14,62383.82855201934
6,15,61479.99696728429
7,2,64220.05140125286
7,3,62564.762158040736
7,4,63259.440433689066
7,5,63368.484461248176
7,6,61839.74716878927
7,7,62922.54795087836
7,8,61620.72830746004
7,9,63697.26907226349
7,10,61719.32304886538
7,11,63307.91235487414
7,12,62586.822357660305
7,13,62718.546878864
7,14,61859.92816636466
7,15,60066.60117255267
8,2,64182.85290623267
8,3,61643.158062586044
8,4,62291.9328594089
8,5,61308.73006780614
8,6,63105.26029801574
8,7,63312.34426438774
8,8,61771.73791517707
8,9,62403.687798061546
8,10,61839.71774162675
8,11,62831.81136155504
8,12,62026.0109004919
8,13,61798.010087273906
8,14,61978.71813688458
8,15,61011.797606966466
9,2,63926.054611151354
9,3,61628.46899329399
9,4,63508.58903230495
9,5,62381.22851361236
9,6,62234.13508898193
9,7,62347.2709662886
9,8,61871.555429874796
9,9,61739.813100897125
9,10,62169.941499293636
9,11,60950.6414125829
9,12,61300.62448248245
9,13,61918.800767779445
9,14,60935.624562224795
9,15,60416.41185024243
10,2,64069.998653938936
10,3,62027.893728420895
10,4,61924.65567855148
10,5,62290.09679332153
10,6,61532.19989449735
10,7,61894.58439503873
10,8,61010.49495773573
10,9,61278.730090979465
10,10,60513.13172790243
10,11,61096.56999872682
10,12,61300.957736647375
10,13,60584.831489513665
10,14,60701.923416036625
10,15,60399.11897812508
11,2,64047.72923507806
11,3,62028.21246516256
11,4,62012.3207683842
11,5,62636.89914472378
11,6,61652.8991804133
11,7,62360.77530874929
11,8,59897.84627307345
11,9,61325.387483564584
11,10,61476.738491563876
11,11,59766.40216716225
11,12,60196.1818069304
11,13,60313.44985510363
11,14,60209.11160221943
11,15,60169.02309623802
12,2,63991.898163863014
12,3,61706.39511090721
12,4,62795.52863804612
12,5,61983.93435873275
12,6,61218.19628323104
12,7,61101.727659588636
12,8,60291.09279929178
12,9,60522.68998700885
12,10,60813.88615400133
12,11,60093.553688788204
12,12,60780.845489192834
12,13,60930.30104011539
12,14,60260.85717116007
12,15,60965.10349788874
13,2,64313.64665587022
13,3,61524.17241292689
13,4,62855.431230909955
13,5,61560.286109884844
13,6,62391.24982927391
13,7,61933.18207414652
13,8,60532.62519454756
13,9,61042.65920077278
13,10,60830.57191937027
13,11,60070.420352016496
13,12,59738.5116826624
13,13,60389.84383758333
13,14,60162.0061487756
13,15,59378.52318843862
14,2,64011.69075694484
14,3,61887.73554797182
14,4,62166.57474455249
14,5,61173.62371190769
14,6,60259.591914575656
14,7,59917.215205885856
14,8,60827.44245700466
14,9,60119.600120574294
14,10,59880.89696704637
14,11,60077.709532651694
14,12,59970.80302167265
14,13,60598.17212149495
14,14,60201.0745562476
14,15,59018.76571576779
15,2,64244.90383711854
15,3,61372.38273033307
15,4,61852.43522677797
15,5,61208.57005091381
15,6,60535.075073911285
15,7,60501.02161093296
15,8,61548.300600143804
15,9,59969.91388276796
15,10,61152.1543609508
15,11,60726.68000706775
15,12,60019.09958320117
15,13,60341.71026549333
15,14,59629.66471530045
15,15,59290.956279610844
